Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 5- 8-2018  1:57PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  CPLD.ngd
output file: CPLD_pad.csv
Part type:   xc2c64a
Speed grade: -7
Package:     vq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,LEDs<1>,O,I/O/GTS2,OUTPUT,LVCMOS18,2,,FAST,,,,
P2,LEDs<2>,O,I/O/GTS3,OUTPUT,LVCMOS18,2,,FAST,,,,
P3,LEDs<3>,O,I/O/GTS0,OUTPUT,LVCMOS18,2,,FAST,,,,
P4,LEDs<4>,O,I/O/GTS1,OUTPUT,LVCMOS18,2,,FAST,,,,
P5,,VCCAUX,VAUX,,,,,,,,,,
P6,LEDs<5>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P7,LEDs<6>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P8,KPR,,I/O,,,2,,,,,,,
P9,KPR,,I/O,,,2,,,,,,,
P10,KPR,,I/O,,,2,,,,,,,
P11,SCL_1V8,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P12,SDA_1V8,I/O,I/O,BIDIR,LVCMOS18,2,,FAST,,,,
P13,INT_1V8,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P14,KPR,,I/O,,,1,,,,,,,
P15,SCL_PI,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P16,SDA_PI,I/O,I/O,BIDIR,LVCMOS33,1,,FAST,,,,
P17,INT_PI,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P18,DIR,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P19,KPR,,I/O,,,1,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,KPR,,I/O/GCK0,,,1,,,,,,,
P23,KPR,,I/O/GCK1,,,1,,,,,,,
P24,KPR,,I/O,,,1,,,,,,,
P26,,VCC,VCC,,,,,,,,,,
P27,KPR,,I/O/GCK2,,,1,,,,,,,
P28,KPR,,I/O,,,1,,,,,,,
P29,KPR,,I/O,,,1,,,,,,,
P30,KPR,,I/O,,,1,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,KPR,,I/O,,,1,,,,,,,
P33,KPR,,I/O,,,1,,,,,,,
P34,KPR,,I/O,,,1,,,,,,,
P35,KPR,,I/O,,,1,,,,,,,
P36,KPR,,I/O,,,1,,,,,,,
P37,KPR,,I/O,,,1,,,,,,,
P38,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P39,KPR,,I/O,,,1,,,,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,KPR,,I/O,,,1,,,,,,,
P42,KPR,,I/O,,,1,,,,,,,
P43,KPR,,I/O,,,1,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
P51,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P52,KPR,,I/O,,,1,,,,,,,
P53,KPR,,I/O,,,1,,,,,,,
P55,KPR,,I/O,,,1,,,,,,,
P56,KPR,,I/O,,,1,,,,,,,
P57,,VCC,VCC,,,,,,,,,,
P58,KPR,,I/O,,,1,,,,,,,
P60,KPR,,I/O,,,1,,,,,,,
P61,KPR,,I/O,,,2,,,,,,,
P62,GND,,GND,,,,,,,,,,
P64,KPR,,I/O,,,2,,,,,,,
P67,KPR,,I/O,,,2,,,,,,,
P68,KPR,,I/O,,,2,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,KPR,,I/O,,,2,,,,,,,
P71,KPR,,I/O,,,2,,,,,,,
P72,KPR,,I/O,,,2,,,,,,,
P74,KPR,,I/O,,,2,,,,,,,
P76,KPR,,I/O,,,2,,,,,,,
P77,KPR,,I/O,,,2,,,,,,,
P78,KPR,,I/O,,,2,,,,,,,
P79,KPR,,I/O,,,2,,,,,,,
P81,KPR,,I/O,,,2,,,,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P88,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P89,KPR,,I/O,,,2,,,,,,,
P90,KPR,,I/O,,,2,,,,,,,
P91,KPR,,I/O,,,2,,,,,,,
P92,KPR,,I/O,,,2,,,,,,,
P94,KPR,,I/O,,,2,,,,,,,
P97,KPR,,I/O,,,2,,,,,,,
P98,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P99,KPR,,I/O/GSR,,,2,,,,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


